instance,solve_time(s),intvars
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32203.dat,45.6144,128
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32367.dat,48.9022,128
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27478.dat,55.5214,240
x_20_8.dat,56.5864,106
x_24_7.dat,56.6316,128
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-30359.dat,59.6294,240
x_22_3.dat,59.7771,116
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-31488.dat,60.5235,240
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32381.dat,61.4498,240
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-26906.dat,61.5036,240
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-31151.dat,62.6514,240
x_24_8.dat,64.4575,128
x_22_5.dat,68.0862,116
x_25_1.dat,69.8928,132
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-29824.dat,70.6983,320
x_24_0.dat,71.3331,128
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28252.dat,71.7393,320
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28172.dat,78.2299,320
i-ng-60-160-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-34336.dat,78.3022,320
i-ng-60-160-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-34470.dat,86.9589,320
x_25_8.dat,87.6122,132
x_20_5.dat,88.3654,106
x_22_1.dat,99.8734,116
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28522.dat,102.55,320
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28335.dat,105.133,320
i-ng-60-160-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-34685.dat,110.53,320
x_27_8.dat,110.91,144
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-3154.dat,112.207,240
x_27_2.dat,112.233,144
i-ng-60-160-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-33775.dat,114.208,320
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32270.dat,114.569,128
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28516.dat,118.568,320
x_25_0.dat,120.213,132
i-ng-60-160-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28101.dat,126.164,320
x_23_7.dat,130.27,122
x_26_1.dat,132.542,138
x_21_7.dat,133.449,112
i-ng-60-160-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-34382.dat,136.867,320
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-3031.dat,143.063,240
i-ng-60-160-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-33908.dat,147.473,320
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-3088.dat,157.46,240
i-ng-60-160-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-34411.dat,163.732,320
x_17_5.dat,166.122,90
x_25_3.dat,176.506,132
x_26_5.dat,181.728,138
i-ng-20-120-100-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-30631.dat,208.283,240
x_28_0.dat,256.191,148
i-ng-20-120-100-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-26876.dat,257.472,240
i-ng-60-320-200-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,263.025,640
i-ng-60-160-100-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-25770.dat,279.475,320
