instance,solve_time(s)
i-ng-10-7-6-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-19,0.00200105
i-ng-30-8-6-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-55,0.00143099
i-ng-30-1-1-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-54,0.00198889
i-ng-30-27-21-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-44-03,0.00112796
i-ng-30-27-21-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-44-02,0.00127792
i-ng-10-1-1-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-19,0.00306296
i-ng-30-21-16-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-59,0.00110197
i-ng-30-34-26-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-44-08,0.00102711
i-ng-20-7-6-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-48,0.00205016
i-ng-30-34-26-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-44-09,0.00622082
i-ng-30-34-26-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-44-07,0.00212979
i-ng-30-21-16-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-58,0.00219202
i-ng-10-1-1-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-19,0.00230503
i-ng-10-7-6-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-19,0.00442314
i-ng-30-34-26-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-00,0.00120091
i-ng-20-19-16-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-41,0.00160789
i-ng-30-21-16-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-58,0.00175595
i-ng-20-19-16-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-42,0.00151706
i-ng-10-23-21-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-28,0.00317502
i-ng-10-7-6-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-19,0.00264096
i-ng-30-1-1-20h-3mxP-3mxC-2mxH-1mnH-20171209_00-43-52,0.00300407
i-ng-20-31-26-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-48,0.00184298
i-ng-20-19-16-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-50,0.00194216
i-ng-30-21-16-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-57,0.00243187
i-ng-10-7-6-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-41,0.00165915
i-ng-30-21-16-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-59,0.00389099
i-ng-0-16-16-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-08,0.001791
i-ng-20-19-16-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-41,0.001544
i-ng-10-23-21-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-45,0.001791
i-ng-30-1-1-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-54,0.00323701
i-ng-10-29-26-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-46,0.00180292
i-ng-0-1-1-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-33,0.00251007
i-ng-30-27-21-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-44-00,0.00347805
i-ng-30-8-6-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-55,0.00143886
i-ng-30-21-16-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-57,0.00198221
i-ng-30-27-21-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-44-01,0.00158906
i-ng-30-27-21-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-44-01,0.0010159
i-ng-20-19-16-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-40,0.00152779
